客户ID,姓名,年龄,性别,手机号,注册时间,客户类型,所在城市,消费金额
C00030,侯鹏,,女,15172883608,2024-12-15,普通,,5673.64
C00065,夏娜,37.0,男,15699316565,2022-01-19,银卡,武汉,2063.46
C00064,彭俊,25.0,女,13939915358,2023-05-13,VIP,上海,1721.28
C00053,徐柳,,女,13821925431,2024-02-05,银卡,,2547.67
C00045,施玉梅,,女,18737566262,,金卡,杭州,3329.21
C00048,林建军,,男,15161542990,2023-02-11,,成都,
C176,李莉,,男,,,,,
C00047,张明,53.0,女,18229574146,2022-03-11,,成都,4477.38
C00010,李春梅,,女,15155024736,2021-02-21,VIP,广州,1000.0
C00000,容明,58.0,男,13578087242,2023-02-16,VIP,上海,8932.58
C00018,郑玉英,33.0,男,15572593408,2025-01-12,VIP,深圳,
C00031,米建军,24.0,男,18227359186,,金卡,上海,3758.32
C00035,王小红,21.0,女,18647581160,,金卡,广州,2693.36
C00075,徐英,25.0,女,18155620950,2022-02-06,VIP,深圳,4893.57
C00077,李辉,,男,13290171522,2022-01-21,VIP,,221.43
C00004,刘博,,男,18254033754,2021-06-03,,杭州,6223.35
C00024,黄燕,24.0,男,13746288396,2024-02-02,VIP,广州,4865.45
C00033,孟健,60.0,男,13507500209,2023-03-26,,广州,6087.82
C00012,周艳,,男,15158994400,,,杭州,3467.74
C00026,贺柳,,男,13985509683,2024-07-29,普通,北京,665.94
C00052,刘利,33.0,女,15593242359,2023-08-02,,成都,8925.12
C00055,孙建国,52.0,男,15967803825,2024-10-28,VIP,深圳,
C00022,李淑珍,61.0,男,18223160396,2021-12-01,普通,深圳,5409.23
C00076,张杰,,男,18685150567,2023-01-31,金卡,广州,7109.38
C00044,魏刚,34.0,女,,2022-05-12,,深圳,792.74
C00072,李淑英,35.0,男,,2025-05-18,银卡,深圳,6494.44
C00015,蒋文,,女,14592776236,2022-03-17,,上海,
C00042,邱欢,,女,13804565324,,金卡,广州,9837.15
C00040,李鑫,,男,18021499145,2020-09-30,银卡,成都,7973.92
C00009,江丽华,22.0,女,15655441954,2023-10-23,银卡,广州,2541.61
C00063,李秀兰,59.0,男,13305850424,,普通,广州,4788.25
C00011,张静,21.0,男,15295696572,2022-04-08,银卡,上海,5999.3
